date,symbol,open,close,low,high,volume
08/10/2015,BTCUSD,242.5,245,242.5,243.95,4595.84
09/10/2015,BTCUSD,243.95,249.97,243.6,245.39,7651.63
10/10/2015,BTCUSD,245.39,246.3,244.6,246.3,2984.44
11/10/2015,BTCUSD,246.3,249.5,246.3,249.5,3021.12
12/10/2015,BTCUSD,249.5,249.5,247.6,247.6,9493.89
13/10/2015,BTCUSD,247.6,252.87,245.75,250,12875.4
14/10/2015,BTCUSD,250,254.75,250,253,30115.77
15/10/2015,BTCUSD,253,258.98,253,255.26,50535.45
16/10/2015,BTCUSD,255.9,269.98,255.9,263.75,26743.35
17/10/2015,BTCUSD,263.75,285,263.14,272.47,180981.35
18/10/2015,BTCUSD,272.47,274.89,264.01,268.46,14484
19/10/2015,BTCUSD,268.46,274.77,265,272.49,35836.54
20/10/2015,BTCUSD,272.49,275.99,266.02,272.1,54949.01
21/10/2015,BTCUSD,272.1,272.75,269.5,271.64,99066.75
22/10/2015,BTCUSD,271.64,279.98,271.23,276.89,162664.5
23/10/2015,BTCUSD,276.89,283.95,276.89,280.2,164962.53
24/10/2015,BTCUSD,280.2,285,280.19,285,123247.67
25/10/2015,BTCUSD,285,297,285,289.38,13502.41
26/10/2015,BTCUSD,289.38,296.99,283.99,288.54,97784.33
27/10/2015,BTCUSD,288.54,299,288.53,298.2,202956.9
28/10/2015,BTCUSD,298.2,309,298.2,307.05,369278.2
29/10/2015,BTCUSD,307.05,320.01,261.51,314.89,522681.16
30/10/2015,BTCUSD,314.89,374,314.89,330.36,681306.37
31/10/2015,BTCUSD,330.36,336.69,309.15,315,62936.19
01/11/2015,BTCUSD,315,330,299.76,330,120386.11
02/11/2015,BTCUSD,330,370,326.1,367.85,1062068.18
03/11/2015,BTCUSD,367.85,424.62,362.25,400,1182587.15
04/11/2015,BTCUSD,400,500,365,410,957774.87
05/11/2015,BTCUSD,410,450,369.73,379.42,671522.45
06/11/2015,BTCUSD,379.42,399.7,354.01,376,443559.45
07/11/2015,BTCUSD,376,391.92,374.97,388.13,316125.45
08/11/2015,BTCUSD,388.13,389.61,363.47,377,58646.32
09/11/2015,BTCUSD,377,386.79,361.43,381.46,426641.07
10/11/2015,BTCUSD,381.46,383,236,336.18,255925.57
11/11/2015,BTCUSD,336.18,343.75,300,306,385120.65
12/11/2015,BTCUSD,306,344.8,300.51,335.5,397146.18
13/11/2015,BTCUSD,335.5,348.58,326.6,338.45,160014.56
14/11/2015,BTCUSD,338.45,2200,332.92,349.99,254383.14
15/11/2015,BTCUSD,349.99,354.99,317.76,318.66,132609.66
16/11/2015,BTCUSD,318.66,338.99,315,336.99,155088.38
17/11/2015,BTCUSD,336.99,340.24,328.33,334.51,299171.45
18/11/2015,BTCUSD,334.51,337.9,330.01,335.99,517355.7
19/11/2015,BTCUSD,335.99,335.99,322.34,325.01,302039.17
20/11/2015,BTCUSD,325.01,328.3,310,320.51,119626.03
21/11/2015,BTCUSD,320.51,328.97,318.28,325.22,105230.72
22/11/2015,BTCUSD,325.22,328.75,320.99,324.37,97804.72
23/11/2015,BTCUSD,324.37,326.32,320.01,322.75,326786.37
24/11/2015,BTCUSD,322.75,324.53,305,317.52,283519.45
25/11/2015,BTCUSD,317.52,332,315.21,327.5,178654.88
26/11/2015,BTCUSD,327.5,365.37,327.5,360,175433.89
