date,symbol,open,close,low,high,volume
17/08/2017,BTCUSDT,4469.93,4485.39,4200.74,4285.08,2812379.11
18/08/2017,BTCUSDT,4285.08,4371.52,3938.77,4108.37,4994493.56
19/08/2017,BTCUSDT,4108.37,4184.69,3850,4139.98,1508239.39
20/08/2017,BTCUSDT,4139.98,4211.08,4032.62,4086.29,1915636.35
21/08/2017,BTCUSDT,4086.29,4119.62,3911.79,4016,2770592.06
22/08/2017,BTCUSDT,4016,4104.82,3400,4040,3648726.5
23/08/2017,BTCUSDT,4040,4265.8,4013.89,4114.01,4062506.52
24/08/2017,BTCUSDT,4114.01,4371.68,4085.01,4316.01,3225405.8
25/08/2017,BTCUSDT,4316.01,4453.91,4247.48,4280.68,2440323.79
26/08/2017,BTCUSDT,4280.68,4367,4212.41,4337.44,967753.32
27/08/2017,BTCUSDT,4337.44,4400,4285.54,4310.01,1507589.96
28/08/2017,BTCUSDT,4310.01,4399.82,4124.54,4386.69,2546618.75
29/08/2017,BTCUSDT,4386.69,4625.85,4313.55,4587.48,2640584.83
30/08/2017,BTCUSDT,4587.48,4647.51,4416.01,4555.14,3600737.68
31/08/2017,BTCUSDT,4555.14,4745.42,4555.14,4724.89,2548384.43
01/09/2017,BTCUSDT,4724.89,4885.55,4654.88,4834.91,2634056.29
02/09/2017,BTCUSDT,4834.91,4939.19,4286.87,4472.14,4072965.36
03/09/2017,BTCUSDT,4472.14,4714.76,4298.33,4509.08,3011023.5
04/09/2017,BTCUSDT,4509.08,4527.49,3972.51,4100.11,5550545.61
05/09/2017,BTCUSDT,4100.11,4484.99,3603,4366.47,4863148.22
06/09/2017,BTCUSDT,4366.47,4662.87,4335.26,4619.77,3500735.96
07/09/2017,BTCUSDT,4619.77,4788.59,4438.19,4691.61,2219664.92
08/09/2017,BTCUSDT,4691.61,4735.39,4028.93,4282.8,4764005.93
09/09/2017,BTCUSDT,4282.8,4426.62,4150.06,4258.81,2814560.35
10/09/2017,BTCUSDT,4258.81,4283,3801,4130.37,2653218.2
