date,symbol,open,close,low,high,volume
2019-08-14 12-AM,ETHUSDT,209.3,209.9,208.52,209.33,774467.55
2019-08-13 11-PM,ETHUSDT,207.71,210.73,207.64,209.3,1750960.37
2019-08-13 10-PM,ETHUSDT,207.5,208.5,207,207.71,692265.76
2019-08-13 09-PM,ETHUSDT,208.02,208.18,207.32,207.5,574450.78
2019-08-13 08-PM,ETHUSDT,208.28,208.98,208,208.02,398239.11
2019-08-13 07-PM,ETHUSDT,208.16,208.48,207.8,208.28,562823.8
2019-08-13 06-PM,ETHUSDT,208.33,209.03,207.76,208.16,676572.01
2019-08-13 05-PM,ETHUSDT,206.45,209.18,206.28,208.33,1967066.53
2019-08-13 04-PM,ETHUSDT,205.83,207.65,205.56,206.45,1676298.7
2019-08-13 03-PM,ETHUSDT,207.14,207.34,204,205.83,3184487.19
2019-08-13 02-PM,ETHUSDT,209.33,209.4,206.52,207.14,3728761.44
2019-08-13 01-PM,ETHUSDT,210.64,210.77,209.19,209.33,1733150.13
2019-08-13 12-PM,ETHUSDT,211.35,211.6,210.57,210.64,897433.53
2019-08-13 11-AM,ETHUSDT,210.76,211.7,210.51,211.35,1264004.28
2019-08-13 10-AM,ETHUSDT,209.96,211.07,209,210.76,1650184.27
2019-08-13 09-AM,ETHUSDT,209.53,210.16,208.35,209.96,3455086.87
2019-08-13 08-AM,ETHUSDT,210.09,210.15,209.28,209.53,1206087.82
2019-08-13 07-AM,ETHUSDT,209.8,210.46,209,210.09,1077820.74
2019-08-13 06-AM,ETHUSDT,210.14,210.15,209.76,209.8,397539.91
2019-08-13 05-AM,ETHUSDT,209.38,210.15,209.18,210.14,717405.18
2019-08-13 04-AM,ETHUSDT,209.97,210.09,209.32,209.38,663131.02
2019-08-13 03-AM,ETHUSDT,210.17,210.46,209.19,209.97,1171156.5
2019-08-13 02-AM,ETHUSDT,210.12,214.3,209.71,210.17,1639425.2
2019-08-13 01-AM,ETHUSDT,211.05,211.62,210,210.12,834330.7
2019-08-13 12-AM,ETHUSDT,211.41,211.62,208.45,211.05,1621585.64
2019-08-12 11-PM,ETHUSDT,211.51,211.63,210.93,211.41,474648.49
2019-08-12 10-PM,ETHUSDT,211.59,212.51,211.09,211.51,647909.84
2019-08-12 09-PM,ETHUSDT,212.38,212.71,211.52,211.59,437724
2019-08-12 08-PM,ETHUSDT,212.51,213.11,212.13,212.38,772768.59
2019-08-12 07-PM,ETHUSDT,212.11,212.61,211.91,212.51,468730.5
2019-08-12 06-PM,ETHUSDT,212.33,212.46,211.5,212.11,1062075.52
2019-08-12 05-PM,ETHUSDT,211.9,213.54,211.83,212.33,823845.67
2019-08-12 04-PM,ETHUSDT,212.09,213.45,211.58,211.9,1491111
2019-08-12 03-PM,ETHUSDT,211.85,212.11,211,212.09,761960.19
2019-08-12 02-PM,ETHUSDT,212.13,212.62,211.65,211.85,727464.2
2019-08-12 01-PM,ETHUSDT,211.65,213.43,210.98,212.13,1712834.82
2019-08-12 12-PM,ETHUSDT,210.91,212.41,209.75,211.65,1583774.11
2019-08-12 11-AM,ETHUSDT,212.16,212.41,210,210.91,1481178.01
2019-08-12 10-AM,ETHUSDT,212.46,212.65,211.7,212.16,825377.78
2019-08-12 09-AM,ETHUSDT,212.2,212.9,211.79,212.46,1012646.63
2019-08-12 08-AM,ETHUSDT,212.99,213.07,211.35,212.2,1165822.69
2019-08-12 07-AM,ETHUSDT,212.73,213.4,211.57,212.99,1314935.74
2019-08-12 06-AM,ETHUSDT,213.2,213.47,212.1,212.73,1323883.68
2019-08-12 05-AM,ETHUSDT,213.74,213.99,212.79,213.2,1762902.53
2019-08-12 04-AM,ETHUSDT,214.04,214.58,213.67,213.74,709552.68
2019-08-12 03-AM,ETHUSDT,213.28,214.27,213.2,214.04,1237332.09
2019-08-12 02-AM,ETHUSDT,213.76,214.14,213,213.28,858511.72
2019-08-12 01-AM,ETHUSDT,214.45,214.73,213.02,213.76,967553.6
2019-08-12 12-AM,ETHUSDT,216.42,216.81,213.97,214.45,1460330.48
2019-08-11 11-PM,ETHUSDT,215.33,216.94,215.17,216.42,974851.24
2019-08-11 10-PM,ETHUSDT,214.72,215.89,213.34,215.33,1004403.72
2019-08-11 09-PM,ETHUSDT,215.62,216.12,213.78,214.72,1235400.73
2019-08-11 08-PM,ETHUSDT,215.49,216.18,214.48,215.62,1215106.07
2019-08-11 07-PM,ETHUSDT,215.56,216.39,215.15,215.49,1216067.09
2019-08-11 06-PM,ETHUSDT,214.64,216.53,214.03,215.56,1373979.15
2019-08-11 05-PM,ETHUSDT,212.99,215.3,212.03,214.64,2690936.29
2019-08-11 04-PM,ETHUSDT,210.38,214.2,210.25,212.99,2696265.41
2019-08-11 03-PM,ETHUSDT,210.08,210.58,209.54,210.38,914098.82
2019-08-11 02-PM,ETHUSDT,210.22,210.88,209.94,210.08,932005.77
2019-08-11 01-PM,ETHUSDT,211.36,211.5,210,210.22,1047560.41
2019-08-11 12-PM,ETHUSDT,211.48,211.57,210.45,211.36,1133397.01
2019-08-11 11-AM,ETHUSDT,209.86,211.62,209.84,211.48,1368882.11
2019-08-11 10-AM,ETHUSDT,209.83,210.36,209.1,209.86,1602314.81
2019-08-11 09-AM,ETHUSDT,209.76,210.6,206.55,209.83,3740098.4
2019-08-11 08-AM,ETHUSDT,210.73,210.87,209.12,209.76,1176315.8
2019-08-11 07-AM,ETHUSDT,210.48,211.46,210.37,210.73,1042349.58
2019-08-11 06-AM,ETHUSDT,210.25,215,210.03,210.48,2076710.92
2019-08-11 05-AM,ETHUSDT,210.37,210.58,209.7,210.25,770207.87
2019-08-11 04-AM,ETHUSDT,211.13,211.46,209.69,210.37,1314614.19
2019-08-11 03-AM,ETHUSDT,211.79,212.19,210.89,211.13,1095523.57
2019-08-11 02-AM,ETHUSDT,210.05,211.89,210.01,211.79,1827270.1
2019-08-11 01-AM,ETHUSDT,210.1,210.63,209.46,210.05,1837541.28
2019-08-11 12-AM,ETHUSDT,206.48,212.5,206.14,210.1,4054143.3
2019-08-10 11-PM,ETHUSDT,206.68,207.22,206.47,206.48,630890.85
2019-08-10 10-PM,ETHUSDT,206.56,206.83,205.43,206.68,813839.35
2019-08-10 09-PM,ETHUSDT,207.18,207.4,205.63,206.56,772162.32
2019-08-10 08-PM,ETHUSDT,206.52,207.8,206.36,207.18,841397.35
2019-08-10 07-PM,ETHUSDT,207.07,207.46,205.93,206.52,999786.16
2019-08-10 06-PM,ETHUSDT,206.59,207.51,206.1,207.07,1265652.53
2019-08-10 05-PM,ETHUSDT,204.03,207.41,203.01,206.59,2936944.93
2019-08-10 04-PM,ETHUSDT,205.49,205.58,203.53,204.03,1301353.11
2019-08-10 03-PM,ETHUSDT,204.98,209.6,204.14,205.49,1941154.35
2019-08-10 02-PM,ETHUSDT,205.62,205.65,203.24,204.98,3047564.82
2019-08-10 01-PM,ETHUSDT,205.63,207.16,205,205.62,3729147.26
2019-08-10 12-PM,ETHUSDT,204.11,206.49,203.1,205.63,3998632.52
2019-08-10 11-AM,ETHUSDT,212.17,212.22,202.6,204.11,8575914.98
2019-08-10 10-AM,ETHUSDT,212.82,212.97,211.9,212.17,1418646.74
2019-08-10 09-AM,ETHUSDT,212.31,213.25,212.13,212.82,1604799.83
2019-08-10 08-AM,ETHUSDT,211.59,213.16,211.5,212.31,1599794.03
2019-08-10 07-AM,ETHUSDT,211.36,211.95,211.13,211.59,1305889.88
2019-08-10 06-AM,ETHUSDT,211.76,212.58,211.19,211.36,1838467.99
2019-08-10 05-AM,ETHUSDT,211.54,212.68,211.45,211.76,1008017.15
2019-08-10 04-AM,ETHUSDT,211.95,212.13,211.22,211.54,1011187.94
2019-08-10 03-AM,ETHUSDT,210.98,212.45,210.91,211.95,1717995.9
