"DECIMAL_SCALING",""
"actual","predict"
"3495.6980496644974","3426.679931640625"
"4086.984321475029","3486.0"
"3958.781808614731","3439.52001953125"
"3626.4415830373764","3295.5"
"3526.4264792203903","3241.0"
"3533.1372171640396","3263.050048828125"
"3637.1152848005295","3584.989990234375"
"3779.521957039833","3681.10009765625"
"3950.76647400856","3922.60009765625"
"4128.508642315865","4200.0"
"4294.823855161667","4163.66015625"
"4430.082812905312","4005.0"
"4509.619250893593","4053.0400390625"
"4537.908732891083","4238.330078125"
"4519.201815128326","4046.239990234375"
"4488.262161612511","3863.820068359375"
"4442.692920565605","3842.27001953125"
"4385.344684123993","3965.22998046875"
"4335.7547372579575","3937.2099609375"
"4309.2068284749985","3864.929931640625"
"4296.505823731422","3837.909912109375"
"4282.51326084137","3840.85009765625"
"4265.4696851968765","3911.989990234375"
"4258.706793189049","3894.169921875"
"4261.869937181473","3850.300048828125"
"4264.209792017937","3859.5"
"4264.168813824654","4079.0400390625"
"4274.245351552963","4069.9599609375"
"4303.842410445213","4112.1201171875"
"4341.704398393631","4044.820068359375"
"4372.872039675713","4034.610107421875"
"4375.481233000755","3695.0"
"4338.379204273224","3650.0"
"4281.843081116676","3644.5400390625"
"4226.524010300636","3713.159912109375"
"4185.529053211212","3682.590087890625"
"4162.193462252617","3663.580078125"
"4148.561134934425","3657.7900390625"
"4138.0297392606735","3643.68994140625"
"4127.400368452072","3760.0"
"4121.179506182671","3702.090087890625"
"4115.260019898415","3568.780029296875"
"4102.432355284691","3611.6298828125"
"4086.6445749998093","3611.570068359375"
"4076.5430778265","3596.64990234375"
"4073.590785264969","3578.0"
"4074.1220116615295","3659.3798828125"
"4076.8105536699295","3563.5400390625"
"4077.351465821266","3535.179931640625"
"4069.257155060768","3437.929931640625"
"4050.338640809059","3459.5"
"4028.7572890520096","3472.0"
"4009.2993527650833","3458.179931640625"
"3994.268551468849","3484.989990234375"
"3986.9338274002075","3471.419921875"
"3983.406350016594","3435.0"
"3978.0456572771072","3430.0"
"3971.06371819973","3445.219970703125"
"3962.356597185135","3380.0"
"3950.62156021595","3711.260009765625"
"3951.732814311981","3638.93994140625"
"3978.952392935753","3655.0400390625"
"4020.644351840019","3649.989990234375"
"4055.217280983925","3618.56005859375"
"4072.047770023346","3627.7900390625"
"4080.289602279663","3657.0"
"4084.746539592743","3615.7900390625"
"4087.735339999199","3606.919921875"
"4090.777412056923","3675.8701171875"
