"Z_SCORE",""
"actual","predict"
"4054.438424341798","3426.679931640625"
"3557.7273826290248","3486.0"
"3152.232744590382","3439.52001953125"
"2894.792962449253","3295.5"
"2800.1584486519864","3241.0"
"2861.7393644017448","3263.050048828125"
"2977.018446320255","3584.989990234375"
"3152.6842314642154","3681.10009765625"
"3389.6500732875893","3922.60009765625"
"3684.8396332245306","4200.0"
"4018.8939395835296","4163.66015625"
"4319.811321919482","4005.0"
"4510.985951294791","4053.0400390625"
"4552.060437032089","4238.330078125"
"4512.838531593409","4046.239990234375"
"4412.343091597652","3863.820068359375"
"4228.8756255656035","3842.27001953125"
"4002.5251731056246","3965.22998046875"
"3837.7103693429485","3937.2099609375"
"3790.139204190316","3864.929931640625"
"3837.351571425332","3837.909912109375"
"3912.828516253243","3840.85009765625"
"3957.194385611815","3911.989990234375"
"4002.7144661704338","3894.169921875"
"4062.840796587964","3850.300048828125"
"4100.957111556087","3859.5"
"4102.454854614491","4079.0400390625"
"4120.0465295591075","4069.9599609375"
"4210.743644418282","4112.1201171875"
"4341.064474300466","4044.820068359375"
"4434.388897306268","4034.610107421875"
"4382.485519310457","3695.0"
"4138.8795202566025","3650.0"
"3828.600629217753","3644.5400390625"
"3600.8103870595196","3713.159912109375"
"3491.4306203190336","3682.590087890625"
"3513.9821407968725","3663.580078125"
"3611.8483245541956","3657.7900390625"
"3715.9208442757563","3643.68994140625"
"3794.2868377059185","3760.0"
"3847.409871025843","3702.090087890625"
"3867.0617810950243","3568.780029296875"
"3829.009808165926","3611.6298828125"
"3758.630422079762","3611.570068359375"
"3704.7039630725476","3596.64990234375"
"3689.770418615127","3578.0"
"3703.396120079321","3659.3798828125"
"3732.6580903271497","3563.5400390625"
"3754.536932996999","3535.179931640625"
"3737.4158199127846","3437.929931640625"
"3669.9077883681402","3459.5"
"3588.712869722192","3472.0"
"3538.0758064100455","3458.179931640625"
"3528.9815447942383","3484.989990234375"
"3555.42242013103","3471.419921875"
"3595.9189959928167","3435.0"
"3620.957154178839","3430.0"
"3623.9531258959414","3445.219970703125"
"3607.6432688037657","3380.0"
"3575.2458988542703","3711.260009765625"
"3575.0690189469897","3638.93994140625"
"3657.566438982925","3655.0400390625"
"3790.0585338413885","3649.989990234375"
"3899.9311545307974","3618.56005859375"
"3939.979248170573","3627.7900390625"
"3914.340554170317","3657.0"
"3856.973283226198","3615.7900390625"
"3798.529952379432","3606.919921875"
"3760.5337931341855","3675.8701171875"
"3756.7259584246763","3912.510009765625"
"3819.4908890925576","3971.4599609375"
"3978.173593036022","3966.669921875"
"4205.47445632244","3987.0"
"4388.926256054361","3954.989990234375"
"4464.586266502679","4153.009765625"
"4475.55130325314","4186.990234375"
"4434.642661397679","3859.169921875"
"4293.946049856802","3828.1201171875"
"4096.736637996306","3820.280029296875"
"3925.4511799590796","3912.159912109375"
"3839.73938947358","3843.780029296875"
"3847.191472293381","3818.31005859375"
"3900.975559364245","3818.52001953125"
"3959.499378459828","3805.4599609375"
"3981.320980994961","3876.590087890625"
"3972.7006045665717","3893.2900390625"
"3986.0633534712815","3889.719970703125"
"4033.6472352816268","3910.0"
"4083.420263919723","3947.8798828125"
"4124.163919281367","3918.35009765625"
"4158.223074138761","3910.4599609375"
"4167.831252616266","3876.219970703125"
"4139.4965513058405","3869.989990234375"
"4090.5652956032927","3900.0"
"4048.4534614118274","3907.110107421875"
"4033.9093987406327","4037.02001953125"
"4073.7061335279554","3992.419921875"
"4161.2920528251425","4015.85009765625"
"4250.115031285125","4012.68994140625"
"4305.104621087145","4048.85009765625"
"4328.3244451765695","4059.3701171875"
"4323.630420279573","3999.72998046875"
"4291.381966489147","4000.5"
"4246.550459560658","3982.449951171875"
"4203.4402463386605","4034.1298828125"
"4158.792334259026","3921.72998046875"
"4109.317024126501","4034.0"
"4087.3839763237743","4027.35009765625"
"4125.7009504386","4098.0400390625"
"4213.17436221755","4129.490234375"
"4319.5364949152945","4102.91015625"
"4406.288357769115","4147.990234375"
"4453.287015349512","5090.6201171875"
"4623.9846390552075","5346.68017578125"
"5129.155308323873","5072.56982421875"
"5568.189508904768","5067.41015625"
"5772.723745957883","5239.39990234375"
"5778.027472374673","5266.740234375"
"5672.136258150047","5350.0"
"5582.217287412829","5287.89013671875"
"5590.1377924167355","5471.14013671875"
"5636.452163307104","5347.06982421875"
"5673.748451127867","5117.0498046875"
"5652.240971283254","5141.740234375"
"5593.698699376479","5187.93994140625"
"5551.155136173164","5190.0"
"5530.446226012896","5230.0"
"5526.45932619478","5271.8701171875"
"5552.809940576828","5315.47998046875"
"5598.009858791263","5358.64013671875"
"5636.435895697236","5358.02001953125"
"5652.625930916738","5342.22998046875"
"5643.215361409085","5439.990234375"
"5626.267668330052","5643.97021484375"
"5644.993993887852","5624.580078125"
"5699.2122379720395","5515.39990234375"
"5707.566384038955","5290.47021484375"
"5628.7115732123175","5217.39990234375"
"5516.123323925838","5213.66015625"
"5430.938106259713","5189.14013671875"
"5388.353145631289","5285.02001953125"
"5391.7945949185805","5358.2998046875"
"5440.454172431351","5421.330078125"
"5517.434444721053","5800.02001953125"
"5623.583027101777","5837.2001953125"
"5762.529781775089","5778.39990234375"
"5895.607328488638","5758.31005859375"
"5970.152558101449","5969.509765625"
