date,symbol,open,close,low,high,volume
09/05/2016,ETHUSD,12,12,9.36,9.98,12885.06
10/05/2016,ETHUSD,9.98,9.98,9.36,9.68,6578.2
11/05/2016,ETHUSD,9.68,10.47,9.68,10.43,30978.11
12/05/2016,ETHUSD,10.43,12,9.92,10.2,22183.39
13/05/2016,ETHUSD,10.2,11.59,10.2,10.69,18923.55
14/05/2016,ETHUSD,10.69,10.98,10.01,10.25,7005.9
15/05/2016,ETHUSD,10.25,10.59,10.06,10.06,14872.14
16/05/2016,ETHUSD,10.06,11.41,10.06,11.37,36755.89
17/05/2016,ETHUSD,11.37,12.49,11.28,12.23,86866.35
18/05/2016,ETHUSD,12.23,14,12.23,13.3,80378.8
19/05/2016,ETHUSD,13.3,14.5,13.3,14.5,85755.39
20/05/2016,ETHUSD,14.5,14.77,13.54,13.9,156604.67
21/05/2016,ETHUSD,13.9,13.98,13.09,13.97,55049.27
22/05/2016,ETHUSD,13.97,14.45,13.75,14.2,40196.46
23/05/2016,ETHUSD,14.2,14.43,13.44,13.55,72864.1
24/05/2016,ETHUSD,13.55,13.79,12.12,12.82,102066.33
25/05/2016,ETHUSD,12.82,12.89,11.83,12.53,147099.56
26/05/2016,ETHUSD,12.53,12.9,12.2,12.6,75672.66
27/05/2016,ETHUSD,12.6,12.61,10.64,11.39,87322.56
28/05/2016,ETHUSD,11.39,12.27,10.41,11.81,125407.35
29/05/2016,ETHUSD,11.81,12.73,11.5,12.53,99868.3
30/05/2016,ETHUSD,12.53,12.79,12.41,12.66,98059.56
31/05/2016,ETHUSD,12.66,14.35,12.52,14.18,212221.49
01/06/2016,ETHUSD,14.18,14.35,13.54,13.95,89027.81
02/06/2016,ETHUSD,13.95,14.13,13.82,13.9,13180.38
03/06/2016,ETHUSD,13.9,16.05,13.5,14.02,157342.19
04/06/2016,ETHUSD,14.02,14.16,13.64,13.86,59977.39
05/06/2016,ETHUSD,13.86,13.92,13.7,13.91,10869.67
06/06/2016,ETHUSD,13.91,14.4,13.83,14.16,51421.8
